NER_Label,Entity,Counts
B-ORG,arvi,8
B-ORG,arviyan,2
B-ORG,arviyanarifin,2
B-ORG,arya,7
B-ORG,arysaditya,2
B-ORG,as,16
B-ORG,asa,2
B-ORG,asahan,5
B-ORG,asahanaluminium,2
B-ORG,asam,20
B-ORG,asambangun,1
B-ORG,asamtbk,1
B-ORG,asarabsaudi,2
B-ORG,asdp,5
B-ORG,asean,79
B-ORG,aseansel,3
B-ORG,asem,1
B-ORG,ash,8
B-ORG,ashari,2
B-ORG,asi,1
B-ORG,asia,51
B-ORG,asian,13
B-ORG,asiangames,1
B-ORG,asiapasifik,1
B-ORG,asiatenggara,16
B-ORG,asib,1
B-ORG,asih,1
B-ORG,asisten,10
B-ORG,asistendeputikerjasamainvestasi,1
B-ORG,askegiatan,1
B-ORG,asn,1
B-ORG,asosiasi,51
B-ORG,asosiasienergi,3
B-ORG,asosiasienergisuryaindonesia,10
B-ORG,asosiasipabrikanmodulsuryaindonesia,1
B-ORG,asosiasipengusahaindonesia,1
B-ORG,asosiasiumkmindonesia,1
B-ORG,asri,25
B-ORG,ass,5
B-ORG,assemb,1
B-ORG,assembly,1
B-ORG,association,3
B-ORG,ast,1
B-ORG,astaga,1
B-ORG,asthika,1
B-ORG,astra,3
B-ORG,astraagrolestaritbk,1
B-ORG,atama,2
B-ORG,atambua,2
B-ORG,atambuabarat,1
B-ORG,atang,1
B-ORG,atapada,1
B-ORG,atapkamis,1
B-ORG,ati,1
B-ORG,ation,1
B-ORG,ationagency,1
B-ORG,ative,2
B-ORG,atm,7
B-ORG,atr,1
B-ORG,att,2
B-ORG,au,2
B-ORG,auditexecutive,2
B-ORG,auditorium,1
B-ORG,aum,1
B-ORG,austin,2
B-ORG,australia,5
B-ORG,australian,1
B-ORG,aut,2
B-ORG,authority,2
B-ORG,auto,1
B-ORG,autralia,1
B-ORG,av,1
B-ORG,ava,1
B-ORG,aws,3
B-ORG,ayalacorp,1
B-ORG,ayat,1
B-ORG,ayo,4
B-ORG,ayu,3
B-ORG,az,5
B-ORG,azet,3
B-ORG,azzura,1
B-ORG,b,7
B-ORG,b20,4
B-ORG,b2tkepuspitekserpong,1
B-ORG,ba,1
B-ORG,baa,2
B-ORG,baa2,2
B-ORG,babak,5
B-ORG,babel,1
B-ORG,babi,1
B-ORG,babins,1
B-ORG,baby,2
B-ORG,baca,1
B-ORG,bacbie,2
B-ORG,badak,25
B-ORG,badak4mw,2
B-ORG,badakselatan,1
B-ORG,badan,171
B-ORG,badanantariksajepang,1
B-ORG,badanenergidunia,1
B-ORG,badanenergiinternasional,5
B-ORG,badanenergiterbarukaninternasional,3
B-ORG,badangeologi,10
B-ORG,badangeologi2019,3
B-ORG,badangeologikementerianenergidansumberdayamineral,3
B-ORG,badangeologikementerianesdm,3
B-ORG,badankhususpengelolaenergibarudanenergiterbarukan,3
B-ORG,badankoordinasipenanamanmodal,1
B-ORG,badanpelaksanaenergibaruterbarukan,3
B-ORG,badanpenelitiandanpengembangan(balitbang,2
B-ORG,badanpengaturjalantol,1
B-ORG,badanpengembangansdmesdm,1
B-ORG,badanpengkajiandanpenerapanteknologi,6
B-ORG,badanpengusahaan(bp)batam,1
B-ORG,badanpusatstatistik,5
B-ORG,badantenagaatominternasional,2
B-ORG,badanusaha,8
B-ORG,badanusaha(bumn,1
B-ORG,badanusahajalantol,1
B-ORG,badanusahajalantol(bujt,1
B-ORG,badanusahaketenagalistrikantanahair,1
B-ORG,badanusahalistrik,1
B-ORG,badanusahamilikdaerah,1
B-ORG,badanusahamiliknegara,21
B-ORG,badanusahamiliknegara(bumn,1
B-ORG,badanusahamiliknegara(bumn)sektorpertambangan,1
B-ORG,badanusahamiliknegarauniemiratarab,2
B-ORG,badar,1
B-ORG,badung,2
B-ORG,bage,1
B-ORG,bagus,1
B-ORG,bah,2
B-ORG,bahas,1
B-ORG,bahlil,16
B-ORG,bahlilsesumbar,5
B-ORG,bahru,1
B-ORG,bajaotomotif,2
B-ORG,bak,1
B-ORG,bakauhen,2
B-ORG,bakauhenia,2
B-ORG,bakir,6
B-ORG,bakor,1
B-ORG,bakrie,22
B-ORG,bakriegroup,1
B-ORG,bakrieincar,1
B-ORG,bakrietelecom,4
B-ORG,bakti,2
B-ORG,baku,6
B-ORG,balai,13
B-ORG,balaibesarpengembanganlatihankerja,1
B-ORG,balaibesarpengembanganlatihankerja(,1
B-ORG,balaiekonomidesa(balkondes)karangrejo,1
B-ORG,balaikota,1
B-ORG,bale,3
B-ORG,baleg,1
B-ORG,bali,165
B-ORG,bali-,1
B-ORG,bali3,1
B-ORG,balikpapan,3
B-ORG,balimandar,1
B-ORG,balimandara,5
B-ORG,balimandarapenataan,1
B-ORG,balimandarauntuk,1
B-ORG,baliptpln,1
B-ORG,balitbangkementerianenergidansumberdayamineral,2
B-ORG,balkondes,2
B-ORG,balong,2
B-ORG,balongan,2
B-ORG,balumu,1
B-ORG,balumuene,1
B-ORG,bam,8
B-ORG,bambang,3
B-ORG,bambu,1
B-ORG,bampende,3
B-ORG,bamso,16
B-ORG,bamsoet,5
B-ORG,bamsoetdukung,1
B-ORG,banana,2
B-ORG,bananaport,2
B-ORG,bandar,2
B-ORG,bandara,1
B-ORG,bandung,9
B-ORG,bang,1
B-ORG,bangka,9
B-ORG,bangkabelitung,1
B-ORG,bangkiangsidem,1
B-ORG,bangladesh,4
B-ORG,bangli,2
B-ORG,bangun,2
B-ORG,banjar,1
B-ORG,banjarnah,1
B-ORG,banjarnegara,2
B-ORG,banjir,1
B-ORG,bank,131
B-ORG,bankbjbsyariah,1
B-ORG,bankdaerah,1
B-ORG,bankindonesia,3
B-ORG,bankindonesiantt,2
B-ORG,bankingserviceexcellent2023xtribunjabar.id,1
B-ORG,bankkesejahteraanekonomi,1
B-ORG,bankmandiri,4
B-ORG,banknegara,2
B-ORG,bankof,1
B-ORG,bankrakyat,2
B-ORG,bankrakyatindonesia,2
B-ORG,bankumum,1
B-ORG,bano,2
B-ORG,bantahan,1
B-ORG,banten,5
B-ORG,bantensa,1
B-ORG,banyu,1
B-ORG,banyumas,1
B-ORG,banyuwangi,1
B-ORG,banyuwangikeroyo,1
B-ORG,baoshuo,1
B-ORG,baoshuotamanindustryinvestmentgroup,1
B-ORG,bap,5
B-ORG,bapak,1
B-ORG,bappeda,3
B-ORG,bappen,1
B-ORG,bappenas,1
B-ORG,bar,1
B-ORG,bara,1
B-ORG,baralestari,1
B-ORG,barang,1
B-ORG,barataindonesia,1
B-ORG,barel,1
B-ORG,bareng,1
